Player,Salary,Team
Elton Brand,1000000,PHI
Emmanuel Mudiay,3241800,DEN
Enes Kanter,17145838,OKC
Eric Bledsoe,14000000,PHO
Eric Gordon,12385364,HOU
Ersan Ilyasova,8400000,ATL
Evan Fournier,17000000,ORL
Evan Turner,16393443,POR
Festus Ezeli,7400000,POR
Frank Kaminsky,2730000,CHA
Fred VanVleet,543471,TOR
Gal Mekel,315760,DAL
Garrett Temple,8000000,SAC
Gary Harris,1655880,DEN
Gary Neal,72193,ATL
Gary Payton,543471,HOU
George Hill,8000000,UTA
Georges Niang,650000,IND
Georgios Papagiannis,2202240,SAC
Gerald Green,1410598,BOS
Gerald Henderson,9000000,PHI
Giannis Antetokounmpo,2995421,MIL
Glenn Robinson,1050500,IND
Goran Dragic,15890000,MIA
Gordon Hayward,16073140,UTA
Gorgui Dieng,2348783,MIN
Greg Monroe,17100000,MIL
Greivis Vasquez,4347826,NJN
Harrison Barnes,22116750,DAL
Hassan Whiteside,22116750,MIA
Henry Ellenson,1704120,DET
Henry Sims,75000,UTA
Hollis Thompson,442126,PHI
Ian Clark,1015696,GSW
Ian Mahinmi,15944154,WAS
Iman Shumpert,9700000,CLE
Isaiah Canaan,1015696,CHI
Isaiah Cousins,100000,SAC
Isaiah Taylor,305000,HOU
Isaiah Thomas,6587132,BOS
Isaiah Whitehead,1074145,NJN
Ish Smith,6000000,DET
Ivica Zubac,1034956,LAL
J.J. Barea,4096950,DAL
J.J. Redick,7377500,LAC
J.P. Tokoto,100000,NYK
J.R. Smith,12800000,CLE
Jabari Parker,5374320,MIL
Jae Crowder,6286408,BOS
Jahlil Okafor,4788840,PHI
Jake Layman,600000,POR
Jakob Poeltl,2703960,TOR
Jalen Jones,25000,BOS
Jamal Crawford,13253012,LAC
Jamal Murray,3210840,DEN
Jameel Warney,20000,DAL
Jameer Nelson,4540525,DEN
James Ennis,2898000,MEM
James Harden,26540100,HOU
James Johnson,4000000,MIA
James Jones,1551659,CLE
James Michael McAdoo,980431,GSW
James Webb,65000,PHI
James Young,1825200,BOS
JaMychal Green,980431,MEM
Jared Dudley,10470000,PHO
Jared Sullinger,5628000,PHO
Jarell Eddie,175000,WAS
Jarell Martin,1286160,MEM
Jarnell Stokes,150000,DEN
Jarrett Jack,1551659,ATL
Jarrod Uthoff,63938,DAL
Jason Smith,5000000,WAS
Jason Terry,1551659,MIL
Jason Thompson,945126,GSW
JaVale McGee,1403611,GSW
Jaylen Brown,4743000,BOS
Jeff Green,15000000,ORL
Jeff Teague,8800000,IND
Jeff Withey,1015696,UTA
Jerami Grant,980431,OKC
Jeremy Evans,1227286,IND
Jeremy Lamb,6511628,CHA
Jeremy Lin,11483254,NJN
Jerian Grant,1643040,CHI
Jerryd Bayless,9424084,PHI
Jimmy Butler,17552209,CHI
Joakim Noah,17000000,NYK
Jodie Meeks,6540000,ORL
Joe Harris,980431,NJN
Joe Ingles,2250000,UTA
Joe Johnson,11000000,UTA
Joe Young,1052342,IND
Joel Anthony,663810,SAS
Joel Bolomboy,600000,UTA
Joel Embiid,4826160,PHI
Joffrey Lauvergne,1709720,CHI
John Henson,12517606,MIL
John Jenkins,469841,PHO
John Lucas III,635753,MIN
John Wall,16957900,WAS
Johnny O\'Bryant,276827,CHA
Jon Leuer,10991957,DET
Jonas Jerebko,5000000,BOS
Jonas Valanciunas,14382022,TOR
Jonathan Gibson,680937,DAL
Jonathon Simmons,874636,SAS
Jordan Adams,1465080,MEM
Jordan Clarkson,12500000,LAL
Jordan Crawford,234915,NOH
Jordan Farmar,510921,LAC
Jordan Hill,3911380,MIN
Jordan McRae,874636,CLE
Jordan Mickey,1223653,BOS
Jose Calderon,7708427,LAL
Josh Huestis,1191480,OKC
Josh McRoberts,5782450,MIA
Josh Richardson,874636,MIA
Josh Smith,5400000,DET
Jrue Holiday,11286518,NOH
Juan Hernangomez,1987440,DEN
Julius Randle,3267120,LAL
Julyan Stone,50000,IND
Justin Anderson,1514160,PHI
Justin Hamilton,3000000,NJN
Justin Harper,57672,PHI
Justin Holiday,1015696,NYK
Justise Winslow,2593440,MIA
Jusuf Nurkic,1921320,POR
K.J. McDaniels,3333333,NJN
Kaleb Tarczewski,75000,OKC
Karl-Anthony Towns,5960160,MIN
Kawhi Leonard,17638063,SAS
Kay Felder,543471,CLE
Keith Benson,75000,MIA
Kelly Olynyk,3094014,BOS
Kelly Oubre,2006640,WAS
Kemba Walker,12000000,CHA
Kenneth Faried,12078652,DEN
Kent Bazemore,15730338,ATL
Kentavious Caldwell-Pope,3678319,DET
Kevin Durant,26540100,GSW
Kevin Garnett,8000000,MIN
Kevin Love,21165675,CLE
Kevin Martin,1360305,MIN
Kevin Seraphin,1800000,IND
Kevon Looney,1182840,GSW
Khris Middleton,15200000,MIL
Klay Thompson,16663575,GSW
Kosta Koufos,8046500,SAC
Kris Dunn,3872520,MIN
Kris Humphries,4000000,ATL
Kristaps Porzingis,4317720,NYK
Kyle Anderson,1192080,SAS
Kyle Collinsworth,70000,DAL
Kyle Korver,5239437,CLE
Kyle Lowry,12000000,TOR
Kyle O\'Quinn,3900000,NYK
Kyle Singler,4837500,OKC
Kyrie Irving,17638063,CLE
Lamar Patterson,128623,ATL
LaMarcus Aldridge,20575005,SAS
Lance Stephenson,4000000,IND
Lance Thomas,6191000,NYK
Langston Galloway,5200000,SAC
Larry Nance Jr.,1207680,LAL
Larry Sanders,1865547,MIL
Lavoy Allen,4000000,IND
Leandro Barbosa,4000000,PHO
LeBron James,30963450,CLE
Livio Jean-Charles,1188840,SAS
Lou Amundson,1551659,NYK
Lou Williams,7000000,HOU
Luc Mbah a Moute,2203000,LAC
Lucas Nogueira,1921320,TOR
Luis Scola,5000000,NJN
Luke Babbitt,1227000,MIA
Luol Deng,18000000,LAL
Malachi Richardson,1439880,SAC
Malcolm Brogdon,925000,MIL
Malcolm Delaney,2500000,ATL
Malik Beasley,1627320,DEN
Manny Harris,119494,DAL
Manu Ginobili,14000000,SAS
Marc Gasol,21165675,MEM
Marcelo Huertas,1500000,HOU
Marcin Gortat,12000000,WAS
Marco Belinelli,6333333,CHA
Marcus Georges-Hunt,31969,MIA
Marcus Morris,4625000,DET
Marcus Paige,125000,UTA
Marcus Smart,3578880,BOS
Marcus Thornton,1315448,NJN
Mario Hezonja,3909840,ORL
Markieff Morris,7400000,WAS
Marquese Chriss,2941440,PHO
Marreese Speights,1403611,LAC
Marshall Plumlee,543471,NYK
Martell Webster,830000,WAS
Marvin Williams,12250000,CHA
Mason Plumlee,2328530,DEN
Matt Barnes,6125000,SAC
Matt Costello,50000,ATL
Matthew Dellavedova,9607500,MIL
Maurice Harkless,8988764,POR
Maurice Ndour,543471,NYK
Metta World Peace,1551659,LAL
Meyers Leonard,9213484,POR
Michael Beasley,1403611,MIL
Michael Carter-Williams,3183526,CHI
Michael Gbinije,650000,DET
Michael Kidd-Gilchrist,13000000,CHA
Mike Conley,26540100,MEM
Mike Dunleavy,4837500,ATL
Mike Miller,3500000,DEN
Mike Muscala,1015696,ATL
Mike Scott,3333334,PHO
Mike Tobey,138938,CHA
Miles Plumlee,12500000,MIL
Mindaugas Kuzminskas,2898000,NYK
Miroslav Raduljica,300000,LAC
Mirza Teletovic,10500000,MIL
Mitch McGary,1526040,OKC
Mo Williams,2200000,DEN
Monta Ellis,10770000,IND
Montrezl Harrell,1045000,HOU
Myles Turner,2463840,IND
Nate Wolters,50000,DEN
Nemanja Bjelica,3800000,MIN
Nene Hilario,2898000,HOU
Nerlens Noel,4384490,DAL
Nick Collison,3750000,OKC
Nick Johnson,980431,DEN
Nick Young,5443918,LAL
Nick Zeisloft,25000,IND
Nicolas Batum,20869566,CHA
Nicolas Brussino,543471,DAL
Nicolas Laprovittola,210995,SAS
Nik Stauskas,2993040,PHI
Nikola Jokic,1358500,DEN
Nikola Jovanovic,30000,DET
Nikola Mirotic,5782450,CHI
Nikola Pekovic,12100000,MIN
Nikola Vucevic,11750000,ORL
Noah Vonleh,2751360,POR
Norman Powell,874636,TOR
Norris Cole,247991,OKC
Okaro White,374933,MIA
Omer Asik,9904494,NOH
Omri Casspi,3000000,NOH
Otto Porter,5893981,WAS
P.J. Hairston,11534,HOU
P.J. Tucker,5300000,TOR
Pablo Prigioni,1050961,HOU
Pascal Siakam,1196040,TOR
Pat Connaughton,874636,POR
Patricio Garino,100000,SAS
Patrick Beverley,6000000,HOU
Patrick McCaw,543471,GSW
Patrick Patterson,6050000,TOR
Patty Mills,3578948,SAS
Pau Gasol,15500000,SAS
Paul George,18314532,IND
Paul Millsap,20072033,ATL
Paul Pierce,3500000,LAC
Paul Zipser,750000,CHI
Phil Pressey,35000,GSW
Pierre Jackson,105498,DAL
Prince Ibeh,31969,NJN
Quincy Acy,1914544,NJN
Quincy Ford,75000,UTA
Quincy Pondexter,3617978,NOH
Quinn Cook,79922,NOH
R.J. Hunter,1200240,BOS
Rajon Rondo,14000000,CHI
Rakeem Christmas,1052342,IND
Ramon Sessions,6000000,CHA
Randy Foye,2500000,NJN
Rashad Vaughn,1811040,MIL
Raul Neto,937800,UTA
Ray McCallum,119494,CHA
Raymond Felton,1551659,LAC
Reggie Bullock,2255644,DET
Reggie Jackson,14956522,DET
Reggie Williams,252676,NOH
Richard Jefferson,2500000,CLE
Richaun Holmes,1025831,PHI
Ricky Rubio,13550000,MIN
Robbie Hummel,150000,DEN
Robert Covington,1015696,PHI
Robin Lopez,13219250,CHI
Rodney Hood,1406520,UTA
Rodney McGruder,543471,MIA
Rodney Stuckey,7000000,IND
Ron Baker,543471,NYK
Rondae Hollis-Jefferson,1395600,NJN
Ronnie Price,2557545,OKC
Roy Hibbert,5000000,DEN
Rudy Gay,13333333,SAC
Rudy Gobert,2121288,UTA
Russell Westbrook,26540100,OKC
Ryan Anderson,18735364,HOU
Ryan Arcidiacono,75000,SAS
Ryan Kelly,418228,ATL
Salah Mejri,874636,DAL
Sam Dekker,1720560,HOU
Sasha Kaun,1333420,PHI
Sasha Vujacic,1410598,NYK
Scott Wood,50000,GSW
Sean Kilpatrick,980431,NJN
Semaj Christon,543471,OKC
Serge Ibaka,12250000,TOR
Sergio Rodriguez,8000000,PHI
Seth Curry,2898000,DAL
Shabazz Muhammad,3046299,MIN
Shabazz Napier,1350120,POR
Shaun Livingston,5782450,GSW
Shawn Long,96969,PHI
Sheldon McClellan,543471,WAS
Shelvin Mack,2433334,UTA
Skal Labissiere,1188840,SAC
Solomon Hill,11241218,NOH
Spencer Dinwiddie,726672,NJN
Spencer Hawes,6348759,MIL
Stanley Johnson,2969880,DET
Stefan Jankovic,100000,MIA
Stephen Curry,12112359,GSW
Stephen Zimmerman,950000,ORL
Steve Novak,1551659,MIL
Steven Adams,3140517,OKC
T.J. McConnell,874636,PHI
T.J. Warren,2128920,PHO
Taj Gibson,8950000,OKC
Tarik Black,6191000,LAL
Taurean Waller-Prince,2318280,ATL
Terrence Jones,1050961,NOH
Terrence Ross,10000000,ORL
Terry Rozier,1906440,BOS
Thabo Sefolosha,3850000,ATL
Thaddeus Young,14153652,IND
Thomas Robinson,1050961,LAL
Thomas Walkup,69500,CHI
Thon Maker,2568600,MIL
Tiago Splitter,8550000,PHI
Tibor Pleiss,3000000,PHI
Tim Duncan,1881250,SAS
Tim Frazier,2090000,NOH
Tim Hardaway,2281605,ATL
Timofey Mozgov,16000000,LAL
Timothe Luwawu-Cabarrot,1326960,PHI
Tobias Harris,17200000,DET
Tomas Satoransky,2870813,WAS
Toney Douglas,603558,MEM
Tony Allen,5505618,MEM
Tony Parker,14445313,SAS
Tony Snell,2368327,MIL
Tony Wroten,25000,MEM
Treveon Graham,543471,CHA
Trevor Ariza,7806971,HOU
Trevor Booker,9250000,NJN
Trey Burke,3386598,WAS
Trey Lyles,2340600,UTA
Tristan Thompson,15330435,CLE
Troy Daniels,3332940,MEM
Troy Williams,543471,MEM
Ty Lawson,1315448,SAC
Tyler Ennis,1733880,LAL
Tyler Johnson,5628000,MIA
Tyler Ulis,918369,PHO
Tyler Zeller,8000000,BOS
Tyreke Evans,10661286,SAC
Tyson Chandler,12415000,PHO
Tyus Jones,1339680,MIN
Udonis Haslem,4000000,MIA
Victor Oladipo,6552960,OKC
Vince Carter,4264057,MEM
Wade Baldwin,1793760,MEM
Wayne Ellington,6000000,MIA
Wayne Selden,83119,MEM
Wesley Johnson,5628000,LAC
Wesley Matthews,17100000,DAL
Will Barton,3533333,DEN
Willie Cauley-Stein,3551160,SAC
Willie Reed,1015696,MIA
Willy Hernangomez,1375000,NYK
Wilson Chandler,11200000,DEN
Yanick Moreira,50000,TOR
Yi Jianlian,250000,LAL
Yogi Ferrell,239767,DAL
Zach Auguste,60000,LAL
Zach LaVine,2240880,MIN
Zach Randolph,10361445,MEM
Zaza Pachulia,2898000,GSW
